# sens: 23
# slope: 3
# t_int: 8
# ref_v: 0.1
# Los datos estan ordenados de forma freqs, rs, ts.
5.033333333333333576e+04,1.056679999999999946e-03,-1.060439999999999969e+02
5.034444444444444525e+04,1.239780000000000005e-03,-1.057139999999999986e+02
5.035555555555555475e+04,1.403820000000000068e-03,-1.055160000000000053e+02
5.036666666666666424e+04,1.556400000000000101e-03,-1.054080000000000013e+02
5.037777777777778101e+04,1.693730000000000062e-03,-1.052639999999999958e+02
5.038888888888889051e+04,1.819620000000000092e-03,-1.051560000000000059e+02
5.040000000000000000e+04,1.941690000000000039e-03,-1.050120000000000005e+02
5.041111111111110949e+04,2.052319999999999839e-03,-1.049639999999999986e+02
5.042222222222221899e+04,2.159129999999999990e-03,-1.048499999999999943e+02
5.043333333333333576e+04,2.250690000000000069e-03,-1.048139999999999930e+02
5.044444444444444525e+04,2.346050000000000132e-03,-1.048080000000000069e+02
5.045555555555555475e+04,2.429979999999999987e-03,-1.047600000000000051e+02
5.046666666666666424e+04,2.513899999999999902e-03,-1.047360000000000042e+02
5.047777777777778101e+04,2.590190000000000027e-03,-1.046640000000000015e+02
5.048888888888889051e+04,2.666490000000000093e-03,-1.046940000000000026e+02
5.050000000000000000e+04,2.735149999999999994e-03,-1.046820000000000022e+02
5.051111111111110949e+04,2.796190000000000047e-03,-1.046820000000000022e+02
5.052222222222221899e+04,2.861040000000000024e-03,-1.046340000000000003e+02
5.053333333333333576e+04,2.918260000000000211e-03,-1.046099999999999994e+02
5.054444444444444525e+04,2.975479999999999965e-03,-1.046580000000000013e+02
5.055555555555555475e+04,3.032700000000000153e-03,-1.046460000000000008e+02
5.056666666666666424e+04,3.082290000000000117e-03,-1.045919999999999987e+02
5.057777777777778101e+04,3.128070000000000156e-03,-1.046159999999999997e+02
5.058888888888889051e+04,3.173839999999999821e-03,-1.045919999999999987e+02
5.060000000000000000e+04,3.219619999999999860e-03,-1.045679999999999978e+02
