date/time: .03/05/2018.12:36 p.m.
Run 1

time	V
24.813000	6.499505E+0
24.814000	6.494480E+0
24.815000	6.481920E+0
24.816000	6.491968E+0
24.817000	6.494480E+0
24.818000	6.502017E+0
24.819000	6.499505E+0
24.820000	6.504529E+0
24.821000	6.512065E+0
24.822000	6.514577E+0
24.823000	6.532162E+0
24.824000	6.537186E+0
24.825000	6.554770E+0
24.826000	6.544722E+0
24.827000	6.544722E+0
24.828000	6.539698E+0
24.829000	6.544722E+0
24.830000	6.537186E+0
24.831000	6.532162E+0
24.832000	6.532162E+0
24.833000	6.512065E+0
24.834000	6.507041E+0
24.835000	6.502017E+0
24.836000	6.502017E+0
24.837000	6.512065E+0
24.838000	6.502017E+0
24.839000	6.502017E+0
24.840000	6.502017E+0
24.841000	6.517089E+0
24.842000	6.517089E+0
24.843000	6.537186E+0
24.844000	6.537186E+0
24.845000	6.539698E+0
24.846000	6.537186E+0
24.847000	6.532162E+0
24.848000	6.529649E+0
24.849000	6.529649E+0
24.850000	6.537186E+0
24.851000	6.524625E+0
24.852000	6.527137E+0
24.853000	6.502017E+0
24.854000	6.509553E+0
24.855000	6.494480E+0
24.856000	6.496993E+0
24.857000	6.507041E+0
24.858000	6.507041E+0
24.859000	6.522113E+0
24.860000	6.524625E+0
24.861000	6.534674E+0
24.862000	6.527137E+0
24.863000	6.544722E+0
24.864000	6.539698E+0
24.865000	6.542210E+0
24.866000	6.544722E+0
24.867000	6.552258E+0
24.868000	6.544722E+0
24.869000	6.544722E+0
24.870000	6.529649E+0
24.871000	6.522113E+0
24.872000	6.519601E+0
24.873000	6.491968E+0
24.874000	6.496993E+0
24.875000	6.491968E+0
24.876000	6.499505E+0
24.877000	6.499505E+0
24.878000	6.494480E+0
24.879000	6.496993E+0
24.880000	6.502017E+0
24.881000	6.504529E+0
24.882000	6.514577E+0
24.883000	6.542210E+0
24.884000	6.542210E+0
24.885000	6.542210E+0
24.886000	6.544722E+0
24.887000	6.537186E+0
24.888000	6.539698E+0
24.889000	6.542210E+0
24.890000	6.539698E+0
24.891000	6.534674E+0
24.892000	6.529649E+0
24.893000	6.514577E+0
24.894000	6.507041E+0
24.895000	6.499505E+0
24.896000	6.509553E+0
24.897000	6.507041E+0
24.898000	6.514577E+0
24.899000	6.507041E+0
24.900000	6.514577E+0
24.901000	6.512065E+0
24.902000	6.512065E+0
24.903000	6.534674E+0
24.904000	6.527137E+0
24.905000	6.544722E+0
24.906000	6.544722E+0
24.907000	6.529649E+0
24.908000	6.529649E+0
24.909000	6.524625E+0
24.910000	6.522113E+0
24.911000	6.517089E+0
24.912000	6.512065E+0
24.913000	6.504529E+0
24.914000	6.507041E+0
24.915000	6.502017E+0
24.916000	6.507041E+0
24.917000	6.504529E+0
24.918000	6.499505E+0
24.919000	6.507041E+0
24.920000	6.519601E+0
24.921000	6.527137E+0
24.922000	6.532162E+0
24.923000	6.552258E+0
24.924000	6.549746E+0
24.925000	6.554770E+0
